CODGEO,LIBGEO,NBMENFISC16,NBPERSMENFISC16,MED16,DEP,MED16_quintiles,code_insee_commune_actualise,consommation_energie,estimation_ges,surface_thermique_lot,age_logement,classe_consommation_energie_A,classe_consommation_energie_B,classe_consommation_energie_C,classe_consommation_energie_D,classe_consommation_energie_E,classe_consommation_energie_F,classe_consommation_energie_G,classe_estimation_ges_A,classe_estimation_ges_B,classe_estimation_ges_C,classe_estimation_ges_D,classe_estimation_ges_E,classe_estimation_ges_F,classe_estimation_ges_G,classe_age_Neuf (<5ans),classe_age_Récent (entre 5 et 10 ans),classe_age_Entre 10 et 25 ans,classe_age_Entre 25 et 50 ans,classe_age_Entre 50 et 100 ans,classe_age_Plus de 100 ans,classe_surface_Moins de 30 m2,classe_surface_Entre 30 et 60 m2,classe_surface_Entre 60 et 100 m2,classe_surface_Plus de 100 m2,conso_energie_quintiles_Q1,conso_energie_quintiles_Q2,conso_energie_quintiles_Q3,conso_energie_quintiles_Q4,conso_energie_quintiles_Q5,estimation_ges_quintiles_Q1,estimation_ges_quintiles_Q2,estimation_ges_quintiles_Q3,estimation_ges_quintiles_Q4,estimation_ges_quintiles_Q5,surface_thermique_lot_median,age_logement_median,consommation_energie_median,estimation_ges_median,nombre_dpe
91319,Janvry,238.0,644.5,28820.95238095237,91,Q5,91319,204.28977272727272,26.800454545454546,117.51636363636364,53.04545454545455,0.20454545454545456,0.022727272727272728,0.09090909090909091,0.25,0.3409090909090909,0.06818181818181818,0.022727272727272728,0.29545454545454547,0.06818181818181818,0.20454545454545456,0.09090909090909091,0.20454545454545456,0.11363636363636363,0.022727272727272728,0.11363636363636363,0.022727272727272728,0.11363636363636363,0.38636363636363635,0.1590909090909091,0.20454545454545456,0.045454545454545456,0.045454545454545456,0.18181818181818182,0.7272727272727273,0.20454545454545456,0.06818181818181818,0.20454545454545456,0.25,0.2727272727272727,0.3181818181818182,0.13636363636363635,0.11363636363636363,0.11363636363636363,0.3181818181818182,116.31,47.0,200.245,15.025,44.0
91326,Juvisy-sur-Orge,7419.0,16590.5,22477.777777777777,91,Q2,91326,273.3255123216602,56.20170341547773,170.24451515151515,129.9325551232166,0.09814094249891915,0.1772589710332901,0.13143104193687852,0.2369217466493731,0.2369217466493731,0.08992650237786425,0.029399048854301772,0.054474708171206226,0.10505836575875487,0.3138780804150454,0.13964548205793342,0.17898832684824903,0.14569822741028968,0.0622568093385214,0.269347168179853,0.07133592736705577,0.10246433203631647,0.16688283614353652,0.33895373973194987,0.05101599654128837,0.14137483787289234,0.3627323821876351,0.3558149589277994,0.13878080415045396,0.18244703847816687,0.11673151750972763,0.2261132728058798,0.22265456117596194,0.2520536100302637,0.08344141807176826,0.2533506268914829,0.14180717682663208,0.2109814094249892,0.31041936878512755,59.95,40.0,188.65,24.62,2313.0
91330,Lardy,2130.0,5564.5,26544.666666666668,91,Q4,91330,191.16858585858586,29.288417508417506,114.9022558922559,26.141414141414142,0.15824915824915825,0.30303030303030304,0.050505050505050504,0.12794612794612795,0.15488215488215487,0.13804713804713806,0.06734006734006734,0.20202020202020202,0.19528619528619529,0.21548821548821548,0.09090909090909091,0.12457912457912458,0.08080808080808081,0.09090909090909091,0.4377104377104377,0.010101010101010102,0.11784511784511785,0.30303030303030304,0.09764309764309764,0.03367003367003367,0.03367003367003367,0.1414141414141414,0.3939393939393939,0.43097643097643096,0.265993265993266,0.21212121212121213,0.08754208754208755,0.1447811447811448,0.2895622895622896,0.2255892255892256,0.22895622895622897,0.16835016835016836,0.13131313131313133,0.24579124579124578,95.3,18.0,134.33,14.51,297.0
91332,Leudeville,529.0,1412.0,28161.90476190476,91,Q5,91332,164.4308988764045,19.321011235955055,103.26741573033706,23.910112359550563,0.23595505617977527,0.29213483146067415,0.02247191011235955,0.12359550561797752,0.21348314606741572,0.07865168539325842,0.033707865168539325,0.38202247191011235,0.12359550561797752,0.21348314606741572,0.11235955056179775,0.0898876404494382,0.033707865168539325,0.0449438202247191,0.48314606741573035,0.0449438202247191,0.12359550561797752,0.20224719101123595,0.0898876404494382,0.056179775280898875,0.033707865168539325,0.14606741573033707,0.24719101123595505,0.5730337078651685,0.4044943820224719,0.12359550561797752,0.0898876404494382,0.15730337078651685,0.2247191011235955,0.39325842696629215,0.19101123595505617,0.1348314606741573,0.15730337078651685,0.12359550561797752,104.0,8.0,73.8,10.17,89.0
91333,Leuville-sur-Orge,1649.0,4541.5,25615.33333333333,91,Q3,91333,237.9277686746988,27.72532530120482,96.66305060240963,62.82313253012048,0.013493975903614458,0.09542168674698795,0.1291566265060241,0.3031325301204819,0.30409638554216867,0.11180722891566265,0.042891566265060244,0.0491566265060241,0.16240963855421686,0.36819277108433734,0.16578313253012048,0.13349397590361445,0.07228915662650602,0.04867469879518072,0.11759036144578314,0.04578313253012048,0.1980722891566265,0.3180722891566265,0.27710843373493976,0.043373493975903614,0.0708433734939759,0.2419277108433735,0.3306024096385542,0.3566265060240964,0.029879518072289158,0.10313253012048193,0.24481927710843374,0.2857831325301205,0.3363855421686747,0.08048192771084338,0.2674698795180723,0.24,0.22409638554216868,0.18795180722891566,84.4,33.0,225.0,18.0,2075.0
91338,Limours,2675.0,6751.5,28122.777777777777,91,Q5,91338,218.08480769230772,27.627131410256414,97.75386217948719,50.15224358974359,0.08814102564102565,0.09935897435897435,0.07692307692307693,0.25,0.3701923076923077,0.10096153846153846,0.014423076923076924,0.1201923076923077,0.17467948717948717,0.28685897435897434,0.11538461538461539,0.15064102564102563,0.11057692307692307,0.041666666666666664,0.13782051282051283,0.049679487179487176,0.11057692307692307,0.42948717948717946,0.13782051282051283,0.1346153846153846,0.046474358974358976,0.1907051282051282,0.3092948717948718,0.453525641025641,0.11538461538461539,0.09615384615384616,0.15224358974358973,0.3269230769230769,0.3092948717948718,0.14102564102564102,0.266025641025641,0.1842948717948718,0.16987179487179488,0.2387820512820513,93.5,41.0,228.85,15.98,624.0
91339,Linas,2437.0,6468.0,24779.04761904762,91,Q3,91339,125.03188679245282,12.212735849056603,89.2897641509434,18.20047169811321,0.20047169811320756,0.4740566037735849,0.04245283018867924,0.08962264150943396,0.14150943396226415,0.04009433962264151,0.01179245283018868,0.5754716981132075,0.08254716981132075,0.2028301886792453,0.06367924528301887,0.04009433962264151,0.025943396226415096,0.009433962264150943,0.6627358490566038,0.06367924528301887,0.06367924528301887,0.12028301886792453,0.049528301886792456,0.04009433962264151,0.02358490566037736,0.3018867924528302,0.46226415094339623,0.21226415094339623,0.35377358490566035,0.32547169811320753,0.07783018867924528,0.10141509433962265,0.14150943396226415,0.5849056603773585,0.16037735849056603,0.11556603773584906,0.08254716981132075,0.05660377358490566,75.1,0.0,67.13,4.484999999999999,424.0
91340,Lisses,2760.0,7486.0,24256.5,91,Q3,91340,240.71170320404724,23.97389544688027,141.2283811129848,78.35919055649241,0.03035413153456998,0.0775716694772344,0.13659359190556492,0.26138279932546377,0.2934232715008432,0.17537942664418213,0.025295109612141653,0.07082630691399663,0.12310286677908938,0.36930860033726814,0.25295109612141653,0.13827993254637436,0.03204047217537943,0.013490725126475547,0.09612141652613827,0.07251264755480608,0.1703204047217538,0.5581787521079258,0.07588532883642496,0.026981450252951095,0.006745362563237774,0.07925801011804384,0.49072512647554806,0.42327150084317033,0.07925801011804384,0.04215851602023609,0.26644182124789206,0.21922428330522767,0.39291736930860033,0.10286677908937605,0.1905564924114671,0.2934232715008432,0.30522765598650925,0.10792580101180438,96.0,35.0,230.0,18.0,593.0
91345,Longjumeau,8616.0,21471.0,21876.0,91,Q1,91345,226.8425651808242,28.220773759461732,135.6127754415475,106.69217830109335,0.015138772077375946,0.15138772077375945,0.0975609756097561,0.29352396972245587,0.30950378469301937,0.10849453322119428,0.024390243902439025,0.13036164844407064,0.1614802354920101,0.287636669470143,0.09251471825063078,0.1757779646761985,0.1135407905803196,0.03868797308662742,0.1740958788898234,0.02943650126156434,0.16736753574432295,0.4592094196804037,0.10765349032800672,0.06223717409587889,0.15475189234650968,0.22624053826745164,0.4440706476030278,0.17493692178301093,0.02607232968881413,0.1740958788898234,0.18671152228763668,0.3086627417998318,0.30445752733389403,0.1471825063078217,0.2590412111017662,0.17661900756938603,0.15391084945332212,0.26324642556770395,66.51,37.0,222.13,16.09,1189.0
91347,Longpont-sur-Orge,2409.0,6391.0,26903.5,91,Q4,91347,180.49201923076924,23.16894230769231,109.09685897435898,25.23076923076923,0.057692307692307696,0.32051282051282054,0.08333333333333333,0.2403846153846154,0.20512820512820512,0.0673076923076923,0.02564102564102564,0.10256410256410256,0.13141025641025642,0.48717948717948717,0.10576923076923077,0.10256410256410256,0.03205128205128205,0.038461538461538464,0.20192307692307693,0.1987179487179487,0.1955128205128205,0.3269230769230769,0.05448717948717949,0.022435897435897436,0.04487179487179487,0.24358974358974358,0.3942307692307692,0.3173076923076923,0.09294871794871795,0.2980769230769231,0.1858974358974359,0.22115384615384615,0.20192307692307693,0.10576923076923077,0.25961538461538464,0.36217948717948717,0.16346153846153846,0.10897435897435898,77.2,18.0,170.79,16.765,312.0
